UV254(mJ cm-2),HOCl(mg/L),Fe3+ (mg/L),pH,NB (micromolar),MeOH(mM),ONP(mg/L),NO2-(mM),HCO3-(mM),Cl-(mM),SO42-(mM),Kobs (min-1)
2008,10,4.48,3,0,5,10,0,0,0,0,0.11756
2008,10,4.48,3,0,10,10,0,0,0,0,0.10032
2008,10,4.48,3,0,15,10,0,0,0,0,0.09032
2008,10,4.48,3,0,20,10,0,0,0,0,0.08336
2008,10,4.48,3,0,25,10,0,0,0,0,0.07524
2008,10,4.48,3,0,30,10,0,0,0,0,0.06323
2008,10,4.48,3,0,0,10,0,0,0,0,0.12105
2008,5,4.48,3,0,0,10,0,0,0,0,0.07542
2008,15,4.48,3,0,0,10,0,0,0,0,0.13265
2008,20,4.48,3,0,0,10,0,0,0,0,0.11785
2008,25,4.48,3,0,0,10,0,0,0,0,0.0995
2008,30,4.48,3,0,0,10,0,0,0,0,0.0654
2008,10,4.48,3,0,0,10,0,0,0,0,0.12105
2008,10,1.12,3,0,0,10,0,0,0,0,0.12402
2008,10,4.48,3,0,0,10,0,0,0,0,0.1362
2008,10,8.96,3,0,0,10,0,0,0,0,0.12356
2008,10,13.44,3,0,0,10,0,0,0,0,0.10935
2008,10,17.92,3,0,0,10,0,0,0,0,0.10023
2008,10,22.4,3,0,0,10,0,0,0,0,0.08542
2008,10,26.88,3,0,0,10,0,0,0,0,0.08256
1434,10,4.48,3,0,0,10,0,0,0,0,0.09682
1434,5,4.48,3,0,0,10,0,0,0,0,0.058
1434,15,4.48,3,0,0,10,0,0,0,0,0.1312
1434,20,4.48,3,0,0,10,0,0,0,0,0.1235
1434,25,4.48,3,0,0,10,0,0,0,0,0.08236
1434,30,4.48,3,0,0,10,0,0,0,0,0.06525
2008,10,4.48,3,0,0,10,0,0,0,0,0.12105
2008,10,4.48,5,0,0,10,0,0,0,0,0.10526
2008,10,4.48,5,0,0,10,0,1,0,0,0.09521
2008,10,4.48,5,0,0,10,0,3,0,0,0.07542
2008,10,4.48,5,0,0,10,0,5,0,0,0.05263
2008,10,4.48,5,0,0,10,0,8,0,0,0.0442
2008,10,4.48,5,0,0,10,0,11,0,0,0.04402
2008,10,4.48,5,0,0,10,0,16,0,0,0.38545
2008,10,4.48,7,0,0,10,0,0,0,0,0.06523
2008,10,4.48,7,0,0,10,0,1,0,0,0.061254
2008,10,4.48,7,0,0,10,0,3,0,0,0.05748
2008,10,4.48,7,0,0,10,0,5,0,0,0.044562
2008,10,4.48,7,0,0,10,0,8,0,0,0.035
2008,10,4.48,7,0,0,10,0,11,0,0,0.030256
2008,10,4.48,7,0,0,10,0,16,0,0,0.02536
2008,10,4.48,9,0,0,10,0,0,0,0,0.05231
2008,10,4.48,9,0,0,10,0,1,0,0,0.044254
2008,10,4.48,9,0,0,10,0,3,0,0,0.03654
2008,10,4.48,9,0,0,10,0,5,0,0,0.034564
2008,10,4.48,9,0,0,10,0,8,0,0,0.02236
2008,10,4.48,9,0,0,10,0,11,0,0,0.011954
2008,10,4.48,9,0,0,10,0,16,0,0,0.00956
1434,10,0,3,0,0,10,0,0,0,0,0.042
1434,10,1.12,3,0,0,10,0,0,0,0,0.06
1434,10,4.48,3,0,0,10,0,0,0,0,0.09682
1434,10,8.96,3,0,0,10,0,0,0,0,0.13
1434,10,13.44,3,0,0,10,0,0,0,0,0.1335
1434,10,17.92,3,0,0,10,0,0,0,0,0.1245
1434,10,22.4,3,0,0,10,0,0,0,0,0.08825
1434,10,26.88,3,0,0,10,0,0,0,0,0.06235
1434,10,4.48,3,0,0,10,0,0,0,0,0.09682
1434,10,4.48,5,0,0,10,0,0,0,0,0.068
1434,10,4.48,7,0,0,10,0,0,0,0,0.0351
1434,10,4.48,9,0,0,10,0,0,0,0,0.0148
1434,10,4.48,3,0,0,10,0,0,0,0,0.09682
1434,10,4.48,3,0,0,5,0,0,0,0,0.25
1434,10,4.48,3,0,0,15,0,0,0,0,0.054
1434,10,4.48,3,0,0,10,0,0,0,0,0.09682
1434,10,4.48,3,0,0,10,0,1,0,0,0.0942
1434,10,4.48,3,0,0,10,0,3,0,0,0.0821
1434,10,4.48,3,0,0,10,0,5,0,0,0.0707
1434,10,4.48,3,0,0,10,0,8,0,0,0.0645
1434,10,4.48,3,0,0,10,0,11,0,0,0.05745
1434,10,4.48,3,0,0,10,0,16,0,0,0.04635
1434,10,0,3,0,0,10,0,0,0,0,0.0421
1434,10,0,3,0,0,10,0,1,0,0,0.0418
1434,10,0,3,0,0,10,0,3,0,0,0.0412
1434,10,0,3,0,0,10,0,5,0,0,0.0399
1434,10,0,3,0,0,10,0,8,0,0,0.0394
1434,10,0,3,0,0,10,0,11,0,0,0.0389
1434,10,0,3,0,0,10,0,16,0,0,0.0386
1434,10,4.48,3,0,0,10,0,0,0,0,0.09682
1434,10,4.48,3,0,0,10,0,0,0,1,0.0956
1434,10,4.48,3,0,0,10,0,0,0,5,0.0894
1434,10,4.48,3,0,0,10,0,0,0,10,0.0828
1434,10,4.48,3,0,0,10,0,0,0,13,0.0822
1434,10,4.48,3,0,0,10,0,0,0,17,0.0814
1434,10,4.48,3,0,0,10,0,0,0,20,0.0809
1434,10,4.48,3,0,0,10,0,0,0,23,0.0804
1434,10,0,3,0,0,10,0,0,0,0,0.0421
1434,10,0,3,0,0,10,0,0,0,1,0.0419
