UV254(mJ cm-2),NH2Cl(mg/L),Fe3+ (mg/L),pH,NB (micromolar),TBA(mM),ONP(mg/L),HCO3-(mM),Cl-(mM),NO2-(mM),NO3-(mM),Kobs (min-1)
1170,10,9.1,3,0,0,5,0,9,0,0,0.1652
1170,10,9.1,3,0,0,5,0,11,0,0,0.1642
1170,10,9.1,3,0,0,5,0,15,0,0,0.15845
1170,10,9.1,3,0,0,5,0,0,0,0,0.177
1170,10,9.1,3,0,0,5,0,0,1,0,0.144
1170,10,9.1,3,0,0,5,0,0,3,0,0.131
1170,10,9.1,3,0,0,5,0,0,5,0,0.123
1170,10,9.1,3,0,0,5,0,0,8,0,0.1121
1170,10,9.1,3,0,0,5,0,0,10,0,0.0974
1170,10,9.1,3,0,0,5,0,0,13,0,0.09421
1170,10,9.1,3,0,0,5,0,0,0,0,0.177
1170,10,9.1,3,0,0,5,0,0,0,3,0.184
1170,10,9.1,3,0,0,5,0,0,0,6,0.1912
1170,10,9.1,3,0,0,5,0,0,0,9,0.1992
1170,10,9.1,3,0,0,5,0,0,0,12,0.2003
1170,10,9.1,3,0,0,5,0,0,0,15,0.2005
1170,10,9.1,3,0,0,5,0,0,0,18,0.20653
1170,10,9.1,3,0,0,5,0,0,0,21,0.20013
1170,10,9.1,3,0,0,5,0,0,0,24,0.19652
1170,10,9.1,3,0,0,5,0,0,0,0,0.177
1170,10,9.1,3,0,4,5,0,0,0,0,0.08
1170,10,9.1,3,0,8,5,0,0,0,0,0.026
1170,10,9.1,3,0,12,5,0,0,0,0,0.024
1170,10,9.1,3,0,16,5,0,0,0,0,0.025
1638,0,0,3,0,0,5,0,0,0,0,0.0087
1638,0,0,3,0,0,5,2,0,0,0,0.007
1638,0,0,3,0,0,5,0,2,0,0,0.0095
1638,0,0,3,0,0,5,0,0,2,0,0.0079
1638,0,9.1,3,0,0,5,0,0,0,0,0.0519
1638,0,9.1,3,0,0,5,2,0,0,0,0.0512
1638,0,9.1,3,0,0,5,0,2,0,0,0.0521
1638,0,9.1,3,0,0,5,0,0,2,0,0.0511
1638,0,9.1,3,0,0,5,0,0,0,2,0.0525
1638,10,0,3,0,0,5,0,0,0,0,0.0398
1638,10,0,3,0,0,5,2,0,0,0,0.039
1638,10,0,3,0,0,5,0,2,0,0,0.0412
1638,10,0,3,0,0,5,0,0,2,0,0.0392
1638,10,0,3,0,0,5,0,0,0,2,0.041
1638,10,9.1,3,0,0,5,0,0,0,0,0.181
1638,10,9.1,3,0,0,5,2,0,0,0,0.169
1638,10,9.1,3,0,0,5,0,2,0,0,0.183
1638,10,9.1,3,0,0,5,0,0,2,0,0.165
1638,10,9.1,3,0,0,5,0,0,0,2,0.184
702,0,0,3,0,0,5,0,0,0,0,0.0045
702,0,0,3,0,0,5,2,0,0,0,0.0036
702,0,0,3,0,0,5,0,2,0,0,0.0048
702,0,0,3,0,0,5,0,0,2,0,0.004
702,0,0,3,0,0,5,0,0,0,2,0.0052
702,0,9.1,3,0,0,5,0,0,0,0,0.0405
702,0,9.1,3,0,0,5,2,0,0,0,0.0399
702,0,9.1,3,0,0,5,0,2,0,0,0.0411
702,0,9.1,3,0,0,5,0,0,2,0,0.0378
702,0,9.1,3,0,0,5,0,0,0,2,0.0415
702,10,0,3,0,0,5,0,0,0,0,0.0211
702,10,0,3,0,0,5,2,0,0,0,0.0236
702,10,0,3,0,0,5,0,2,0,0,0.0257
702,10,0,3,0,0,5,0,0,2,0,0.0232
702,10,0,3,0,0,5,0,0,0,2,0.0257
702,10,9.1,3,0,0,5,0,0,0,0,0.0914
702,10,9.1,3,0,0,5,2,0,0,0,0.0904
702,10,9.1,3,0,0,5,0,2,0,0,0.0923
702,10,9.1,3,0,0,5,0,0,2,0,0.0906
702,10,9.1,3,0,0,5,0,0,0,2,0.0926
1638,10,9.1,3,0,0,5,0,0,0,0,0.185
1638,10,9.1,3,0,0,5,6,0,0,0,0.171
1638,10,9.1,3,0,0,5,8,0,0,0,0.159
1638,10,9.1,3,0,0,5,10,0,0,0,0.152
1638,10,9.1,3,0,0,5,12,0,0,0,0.1402
1638,10,9.1,3,0,0,5,14,0,0,0,0.128
1638,10,9.1,3,0,0,5,16,0,0,0,0.122
1638,10,9.1,3,0,0,5,18,0,0,0,0.115
1638,10,9.1,3,0,0,5,24,0,0,0,0.101
1638,10,9.1,3,0,0,5,0,0,0,0,0.185
1638,10,9.1,3,0,0,5,0,1,0,0,0.186
1638,10,9.1,3,0,0,5,0,3,0,0,0.187
1638,10,9.1,3,0,0,5,0,6,0,0,0.193
1638,10,9.1,3,0,0,5,0,9,0,0,0.201
1638,10,9.1,3,0,0,5,0,11,0,0,0.203
1638,10,9.1,3,0,0,5,0,15,0,0,0.186
1638,10,9.1,3,0,0,5,0,0,0,0,0.185
1638,10,9.1,3,0,0,5,0,0,1,0,0.178
1638,10,9.1,3,0,0,5,0,0,3,0,0.171
1638,10,9.1,3,0,0,5,0,0,5,0,0.1652
1638,10,9.1,3,0,0,5,0,0,8,0,0.16
1638,10,9.1,3,0,0,5,0,0,10,0,0.155
1638,10,9.1,3,0,0,5,0,0,13,0,0.154
1638,10,9.1,3,0,0,5,0,0,0,0,0.185
1638,10,9.1,3,0,0,5,0,0,0,3,0.187
1638,10,9.1,3,0,0,5,0,0,0,6,0.191
1638,10,9.1,3,0,0,5,0,0,0,9,0.196
1638,10,9.1,3,0,0,5,0,0,0,12,0.199
1638,10,9.1,3,0,0,5,0,0,0,15,0.203
1638,10,9.1,3,0,0,5,0,0,0,18,0.201
1638,10,9.1,3,0,0,5,0,0,0,21,0.194
1638,10,9.1,3,0,0,5,0,0,0,24,0.181
1638,5,9.1,3,0,0,5,0,0,0,0,0.0995
1638,5,9.1,3,0,0,5,6,0,0,0,0.0989
1638,5,9.1,3,0,0,5,8,0,0,0,0.0978
1638,5,9.1,3,0,0,5,10,0,0,0,0.0971
1638,5,9.1,3,0,0,5,12,0,0,0,0.0964
1638,5,9.1,3,0,0,5,14,0,0,0,0.0958
1638,5,9.1,3,0,0,5,16,0,0,0,0.0949
1638,5,9.1,3,0,0,5,18,0,0,0,0.0939
1638,5,9.1,3,0,0,5,24,0,0,0,0.0925
1638,5,9.1,3,0,0,5,24,1,0,0,0.0931
1638,5,9.1,3,0,0,5,24,3,0,0,0.0941
1638,5,9.1,3,0,0,5,24,6,0,0,0.0944
1638,5,9.1,3,0,0,5,24,9,0,0,0.0949
1638,5,9.1,3,0,0,5,24,11,0,0,0.094
1638,5,9.1,3,0,0,5,24,15,0,0,0.0936
1638,5,9.1,3,0,0,5,0,0,0,0,0.0925
1638,5,9.1,3,0,0,5,0,0,1,0,0.0919
1638,5,9.1,3,0,0,5,0,0,3,0,0.0911
1638,5,9.1,3,0,0,5,0,0,5,0,0.0905
1638,5,9.1,3,0,0,5,0,0,8,0,0.0894
1638,5,9.1,3,0,0,5,0,0,10,0,0.0881
1638,5,9.1,3,0,0,5,0,0,13,0,0.088
1638,5,9.1,3,0,0,5,0,0,0,0,0.0925
1638,5,9.1,3,0,0,5,0,0,0,3,0.0929
1638,5,9.1,3,0,0,5,0,0,0,6,0.0939
1638,5,9.1,3,0,0,5,0,0,0,9,0.0946
1638,5,9.1,3,0,0,5,0,0,0,12,0.0956
1638,5,9.1,3,0,0,5,0,0,0,15,0.096
1638,5,9.1,3,0,0,5,0,0,0,18,0.096
1638,5,9.1,3,0,0,5,0,0,0,21,0.0958
1638,15,9.1,3,0,0,5,0,0,0,0,0.1281
1638,15,9.1,3,0,0,5,6,0,0,0,0.124
1638,15,9.1,3,0,0,5,8,0,0,0,0.112
1638,15,9.1,3,0,0,5,10,0,0,0,0.109
1638,15,9.1,3,0,0,5,12,0,0,0,0.102
1638,15,9.1,3,0,0,5,14,0,0,0,0.0956
1638,15,9.1,3,0,0,5,16,0,0,0,0.0825
1638,15,9.1,3,0,0,5,18,0,0,0,0.0712
1638,15,9.1,3,0,0,5,24,0,0,0,0.0711
1638,15,9.1,3,0,0,5,0,0,0,0,0.1281
1638,15,9.1,3,0,0,5,0,1,0,0,0.131
1638,15,9.1,3,0,0,5,0,3,0,0,0.136
1638,15,9.1,3,0,0,5,0,6,0,0,0.145
1638,15,9.1,3,0,0,5,0,9,0,0,0.149
1638,15,9.1,3,0,0,5,0,11,0,0,0.156
1638,15,9.1,3,0,0,5,0,15,0,0,0.144
1638,15,9.1,3,0,0,5,0,0,0,0,0.1281
1638,15,9.1,3,0,0,5,0,0,1,0,0.125
1638,15,9.1,3,0,0,5,0,0,3,0,0.12
1638,15,9.1,3,0,0,5,0,0,5,0,0.117
1638,15,9.1,3,0,0,5,0,0,8,0,0.105
1638,15,9.1,3,0,0,5,0,0,10,0,0.101
1638,15,9.1,3,0,0,5,0,0,13,0,0.0985
1638,15,9.1,3,0,0,5,0,0,0,0,0.1281
1638,15,9.1,3,0,0,5,0,0,0,3,0.131
1638,15,9.1,3,0,0,5,0,0,0,6,0.139
1638,15,9.1,3,0,0,5,0,0,0,9,0.146
1638,15,9.1,3,0,0,5,0,0,0,12,0.152
1638,15,9.1,3,0,0,5,0,0,0,15,0.155
1638,15,9.1,3,0,0,5,0,0,0,18,0.171
1638,15,9.1,3,0,0,5,0,0,0,21,0.165
1638,15,9.1,3,0,0,5,0,0,0,24,0.1602
1638,25,9.1,3,0,0,5,0,0,0,0,0.0962
1638,25,9.1,3,0,0,5,6,0,0,0,0.096
1638,25,9.1,3,0,0,5,8,0,0,0,0.0954
1638,25,9.1,3,0,0,5,10,0,0,0,0.09412
1638,25,9.1,3,0,0,5,12,0,0,0,0.0935
1638,25,9.1,3,0,0,5,14,0,0,0,0.0928
1638,25,9.1,3,0,0,5,16,0,0,0,0.0923
1638,25,9.1,3,0,0,5,18,0,0,0,0.0917
1638,25,9.1,3,0,0,5,24,0,0,0,0.0901
1638,25,9.1,3,0,0,5,0,0,0,0,0.0962
1638,25,9.1,3,0,0,5,0,1,0,0,0.0966
1638,25,9.1,3,0,0,5,0,3,0,0,0.0969
1638,25,9.1,3,0,0,5,0,6,0,0,0.0977
1638,25,9.1,3,0,0,5,0,9,0,0,0.0976
1638,25,9.1,3,0,0,5,0,11,0,0,0.0965
1638,25,9.1,3,0,0,5,0,15,0,0,0.0964
1638,25,9.1,3,0,0,5,0,0,0,0,0.0962
1638,25,9.1,3,0,0,5,0,0,1,0,0.0959
1638,25,9.1,3,0,0,5,0,0,3,0,0.0951
1638,25,9.1,3,0,0,5,0,0,5,0,0.0942
1638,25,9.1,3,0,0,5,0,0,8,0,0.0935
1638,25,9.1,3,0,0,5,0,0,10,0,0.0931
1638,25,9.1,3,0,0,5,0,0,13,0,0.0925
1638,25,9.1,3,0,0,5,0,0,0,0,0.0962
1638,25,9.1,3,0,0,5,0,0,0,3,0.0966
1638,25,9.1,3,0,0,5,0,0,0,6,0.0974
1638,25,9.1,3,0,0,5,0,0,0,9,0.0982
1638,25,9.1,3,0,0,5,0,0,0,12,0.0989
1638,25,9.1,3,0,0,5,0,0,0,15,0.099
1638,25,9.1,3,0,0,5,0,0,0,18,0.0995
1638,25,9.1,3,0,0,5,0,0,0,21,0.0985
1638,25,9.1,3,0,0,5,0,0,0,24,0.0978
1638,10,9.1,3,0,0,5,0,0,0,0,0.185
1638,10,9.1,3,0,0,10,0,0,0,0,0.0949
1638,10,9.1,3,0,0,10,2,0,0,0,0.0946
1638,10,9.1,3,0,0,10,0,2,0,0,0.0951
1638,10,9.1,3,0,0,10,0,0,2,0,0.0946
1638,10,9.1,3,0,0,10,0,0,0,2,0.0953
1638,10,9.1,3,0,0,10,0,0,0,0,0.0949
1638,10,9.1,3,0,0,10,6,0,0,0,0.0944
1638,10,9.1,3,0,0,10,8,0,0,0,0.0934
1638,10,9.1,3,0,0,10,10,0,0,0,0.093
1638,10,9.1,3,0,0,10,12,0,0,0,0.0925
1638,10,9.1,3,0,0,10,14,0,0,0,0.0917
1638,10,9.1,3,0,0,10,16,0,0,0,0.0915
1638,10,9.1,3,0,0,10,18,0,0,0,0.0911
1638,10,9.1,3,0,0,10,24,0,0,0,0.0907
1638,10,9.1,3,0,0,10,0,0,0,0,0.0949
1638,10,9.1,3,0,0,10,0,1,0,0,0.0956
1638,10,9.1,3,0,0,10,0,3,0,0,0.0962
1638,10,9.1,3,0,0,10,0,6,0,0,0.0967
1638,10,9.1,3,0,0,10,0,9,0,0,0.097
1638,10,9.1,3,0,0,10,0,11,0,0,0.0955
1638,10,9.1,3,0,0,10,0,15,0,0,0.0945
1638,10,9.1,3,0,0,10,0,0,0,0,0.0949
1638,10,9.1,3,0,0,10,0,0,1,0,0.0942
1638,10,9.1,3,0,0,10,0,0,3,0,0.0933
1638,10,9.1,3,0,0,10,0,0,5,0,0.0929
1638,10,9.1,3,0,0,10,0,0,8,0,0.0925
1638,10,9.1,3,0,0,10,0,0,10,0,0.0921
1638,10,9.1,3,0,0,10,0,0,13,0,0.0916
1638,10,9.1,3,0,0,10,0,0,0,0,0.0949
1638,10,9.1,3,0,0,10,0,0,0,3,0.0951
1638,10,9.1,3,0,0,10,0,0,0,6,0.0957
1638,10,9.1,3,0,0,10,0,0,0,9,0.0966
1638,10,9.1,3,0,0,10,0,0,0,12,0.0973
1638,10,9.1,3,0,0,10,0,0,0,15,0.0974
1638,10,9.1,3,0,0,10,0,0,0,18,0.0966
1638,10,9.1,3,0,0,10,0,0,0,21,0.0955
1638,10,9.1,3,0,0,10,0,0,0,24,0.0945
1638,10,9.1,3,0,0,15,0,0,0,0,0.0715
1638,10,9.1,3,0,0,15,6,0,0,0,0.0711
1638,10,9.1,3,0,0,15,8,0,0,0,0.0707
1638,10,9.1,3,0,0,15,10,0,0,0,0.0701
1638,10,9.1,3,0,0,15,12,0,0,0,0.0694
1638,10,9.1,3,0,0,15,14,0,0,0,0.0685
1638,10,9.1,3,0,0,15,16,0,0,0,0.0678
1638,10,9.1,3,0,0,15,18,0,0,0,0.0665
1638,10,9.1,3,0,0,15,24,0,0,0,0.065
1638,10,9.1,3,0,0,15,0,1,0,0,0.0719
1638,10,9.1,3,0,0,15,0,3,0,0,0.0725
1638,10,9.1,3,0,0,15,0,6,0,0,0.0731
1638,10,9.1,3,0,0,15,0,9,0,0,0.0735
1638,10,9.1,3,0,0,15,0,11,0,0,0.0734
1638,10,9.1,3,0,0,15,0,15,0,0,0.0722
1638,10,9.1,3,0,0,15,0,0,0,0,0.0715
1638,10,9.1,3,0,0,15,0,0,1,0,0.0713
1638,10,9.1,3,0,0,15,0,0,3,0,0.0707
1638,10,9.1,3,0,0,15,0,0,5,0,0.0702
1638,10,9.1,3,0,0,15,0,0,8,0,0.0694
1638,10,9.1,3,0,0,15,0,0,10,0,0.0688
1638,10,9.1,3,0,0,15,0,0,13,0,0.0679
